三径入青山	三径
一日归来一日闲	闲
老来新鬓已斓斑	新
只今惟有溪边草	草
日日迟迟自往还	迟
今日归来一日闲	闲
高楼三尺对骊山	三尺
白头日日西风动	动
只在人间在世间	人间
处处多春雨	春雨
桥边送行人	行人
游人曾不见	曾
到处更无人	无人
一树梅花四十春	春
回头又见一番新	新
谁知洞府知何处	洞府
不是仙仙是主人	仙
不到浔阳陌上游	游
何人知是越南州	越
游人莫向山头话	话
落尽梨花一树秋	秋
南国重来有此心	心
更无一点碧云深	一点
门前旧事无人问	问
独坐重来一寸心	坐
一阵西风六月寒	寒
独将人泪倚阑干	人
梅花只合连云合	合
乞与梅花作雪看	雪
三十年来不记年	年
别来家里更凄然	家
如今记得今朝醉	醉
只解梅花更可怜	解
昔日登山忆故山	山
一山流水几重山	山
不知何处直归去	直
只在莓苔水石间	莓苔
打著著不著	著
出头知有余	有余
见君无著处	君
试觅谢家书	试
山色浑如画	画
谁教枕上来	教
最知安乐处	最
都是雪飞开	雪飞
百年相别若为情	情
折得归来手几茎	手
正是远山微著处	微
乱山深处与人行	轩
百年三百百	百
不是长安道	道
如此是霓裳	霓裳
又被秋风度	度
槐花落尽槐花落	花落
一树无花尚有花	花
蝴蝶不知春尽处	春
桃花深处是春家	春
万顷江头一叶舟	舟
又催吹雨送春愁	催
扁舟半夜闻风雨	闻
看尽日高不上楼	日高
万事不应难	难
归心冷於水	水
如此赋不归	赋
无心亦无复	复
山色昼如昼	昼
松间竹如竹	竹
归来消息来	消息
只在深炉里	深
白石榴花照眼明	明
主人终日下岩扃	岩
桃花知是春风处	春风
到得还家自有情	家
圣明朝汉汉	汉
万国国封侯	侯
不知何太虚	虚
不作诗中愁	诗
乌鹊桥边柳色新	新
满堤杨柳不伤春	春
夕阳春色知何处	夕阳
愁杀昭阳陌上人	人
流水登山不可寻	寻
灵光特地结人心	结
空山四月明如镜	对镜
付与诸郎到夜深	郎
尧舜是尧仁	仁
何曾有所闻	曾
莫言功德水	水
何必省诸君	省
江南江上船	船
只在高江上	高
不道故乡人	道
江南草生草	生
日日初长日	日
无花尚有花	花
若无些子子	子
今日见京华	重回
日日初长日	日
春风弄玉时	玉
不知春色胜	胜
又见水边枝	水边
白玉阶前一树阴	阴
春来草木不伤心	草木
一瓶一钵将归去	钵
只向尊前一夜深	前
三十年来尚有诗	诗
如今还是太平时	平
如今校校当前辈	阮
杜老交横更是谁	横
一树梅花四十春	春
谁将白醭拂香尘	拂
道人到处难无事	难
小摘黄梅作主人	小
朝来骤雨来	雨来
冻云冻云起	云
独卧茅檐间	间
青山还自在	自在
昨日西风泣露时	泣露
好风吹雨落花枝	风
乱红春色知何处	红
不见鸟啼花落时	红
独向山中宿	宿
看花不见春	春
梦中闻鸟语	闻
声是梦中人	声
松下长长啸	长啸
春风特地来	乞
登山未终日	终日
双眼为渠开	渠
一舸乘风入楚云	云
绿阴深处翠烟深	深
只应流出波生处	生
长与幽人住此心	住
日日归来早	早
东风又向东	东
昨日西风起	西风
残花细雨中	细雨
画戟拥浮云	拥
乾坤似使君	乾坤
往来山下路	路
秦向梦中闻	秦
一树梅花四十春	春
从来物物物精神	物
梅花应不犯寒雨	寒
莫作东风懊恼人	东风
细雨归来晚	晚
西风落叶秋	秋
归来好风雨	风雨
懒过燕山头	懒
绿柳千株绿	绿
桃花柳色空	空
一窗窗月色	窗
应不惜春红	春
孤舟立晚风	晚风
飘泊孤孤岛	孤
行人闻道来	道
只在槐阴里	阴
两鬓浑如雪	雪
梅花不是琼	琼
姮娥如玉女	娥
宫女散红妆	散
五月江头一斗牛	牛
从教人面自风流	人
老来不得知何苦	苦
赢得从来苦打头	苦
绿树阴阴覆古台	古
不知谁向腊前开	前
如今正是重阳日	日
也解春风细雨来	解
栽种庭前树	树
森森森夏木	木
落花人不见	人
唤作人间梦	梦
草色初鲜月色鲜	鲜
山中何事亦嫣然	山中
游人日日随人去	人
春草青烟锁暮烟	锁
一笑不堪笑	笑
无心奈尔何	尔
老来无限思	思
不是古来多	古
佛法从来事不通	通
孤村何处不相通	孤村
草鞋踏破庭前竹	竹
不是前身是客中	客
不见山头月	月
楼头月色新	新
春风不到处	春风
谁是是家人	家
自是一词臣	臣
偷闲是主人	闲
嘉嘉谁是主	嘉
元是圣贤臣	元
明月照明月	明月
伯伦真伯伦	孟
人人不传舍	传舍
不见枝中春	枝
金陵祠下菊花丛	丛
三十年来事始同	始
今日落花无色色	色
一花秋雨楝花风	花
礼乐谁为乐	乐
精诚不为乐	乐
不随烟雨来	烟雨
胸中有诗里	诗
梦里身为客	客
梅花乱故人	乱
蝉声不见雁	雁
随处见飞神	飞
山头风月一双双	双
陌上梅花笑未降	笑
料得胸中诗有酒	诗
一张明月入袁江	张
昨日归来看牡丹	牡丹
满园花草占春妍	春
春来不是宫无事	宫
只在桃花锦水边	锦
一树无花尚有花	花
不知今日又春斜	春
明朝又出太平处	太平
昨日归来非一家	非
昨夜昨夜雨	昨夜
西窗一纸书	书
忽从溪上去	溪
犹忆旧家书	犹
临水登山处处求	求
胸中无药不因瘳	药
此心不与形常在	形
忧患如何在所瘳	忧患
觅得重来不辨真	辨
不知官府是何人	官
争来万事成何事	争
何处相逢是故人	相逢
岩上数椽笔	笔
山中玉笋生	生
何事无人识	识
寒云听雨声	云
万里青山不见君	君
不知今日又逢君	君
胸中日日相随分	分
风雨还堪处处闻	堪
风雨在梧桐	桐
清明月受风	月
古来成底事	成
衰懒出山中	懒
春去春来不忆君	君
夜来风雨爱浮云	爱
落花不作年年事	年年
细雨梨花尚送君	尚
万事重来不是非	非
更无尘处不沾衣	尘
如今不到山河处	山河
不是等闲身不归	身
归去几重重	重
无花对北风	花
谁知一村落	村落
只在更添中	添
红叶护萱丛	丛
飞花趁晓风	晓
不知茅树下	茅
浪在白云中	浪
昔日登山忆故山	山
姓名高在白云间	高
往来岂是无穷境	境
独对南山画远山	画
风雨归来晚	晚
香犹更漏迟	犹
墙东千万里	东
不逐落花飞	飞
胸中无一字	字
胸中常有泪	泪
吾侬不忍饥	忍
泪痕泪如泪	泪痕
万事在人间	人间
虽然不可羞	羞
不知文自在	文
只在子山头	子
不入壶中别有天	天
老来一饭不成眠	眠
梦中惟有山头月	月
莫把身心试自然	试
画戟拥浮云	拥
柴门闲闭门	闲
不知花白发	花
明月弄离魂	弄
走马出长沙	长沙
馀空自在家	空
不能相料理	理
不见白杨花	鸟
百花锦如锦	锦
妾不知妾心	心
青灯无一灯	一灯
青灯今夜深	深
万仞峰头百丈高	高
小桥流水漾春涛	春
朝来照出花光处	花光
骑马寻梅上画桥	梅
一树无花尚有花	花
老来无事亦空嗟	空
也知今日非无事	非
惟有庞公自在家	公
万事不曾曾	曾
谁知隔一声	隔
头陀岩下路	路
又见桃花城	桃花
插向南山插	插
林中饭有麻	麻
胸中有双鲤	双
处处竞莲花	竞
天柱峰头百丈高	高
白云处处有惊涛	惊涛
归来便作坡仙去	仙
说与行人语半酣	语
西来天地平	平
池上柳青青	青
何人不受恩	恩
何事不堪听	不堪
江上秋风冷	冷
天寒不到家	家
朝元无一事	元
人不见梅花	人
江上青山卒未休	休
溪山佳处且迟留	留
溪山自是知人意	有意
却向青山送行舟	行舟
乐府归来暑气清	清
闭门初午听啼莺	午
看来不是亲亲事	亲
春事应须是旧情	须
一曲江头一叶舟	舟
天津桥下水烟流	烟
也知不是春风处	春风
只有愁人独自愁	人
元不是元元	元
元无一寸云	云
个中有颔尾	尾
秋气满乾坤	秋
旧事无人问	问
官官去不归	官
向来关故事	关
秋雨湿云衣	云
花开三百花	百花
光中无一片	一片
不与故人留	留
争教逞颜色	教
细雨随风度	度
南天释子猷	子
重来好山色	山色
尽是老人头	人间
万仞峰头欲插天	天
老来人物物依然	物
孤峰顶上谁曾识	曾
老子还生是几年	生
