一径无三径	三径
昨夜东风趁晚风	晚风
西风吹雨打孤篷	孤
游人记得江南道	道
只在墙阴暮雨中	阴
池上雪如雪	雪
花开琼玉瑰	琼
谁知姮娥洁	娥
不散故人来	散
安得牧牛牛	牛
主人少人游	人
行人苦苦苦	苦
何事苦回头	苦
零落青山古	古
孤山古寺前	前
白云无尽日	日
白鸟解苍然	解
不见庭前树	树
梅花在木边	木
夜来人不见	人
不是梦三年	梦
绿叶梢头月色鲜	鲜
归来日日到山边	山中
东风细雨催人去	人
一树桃花锁暮烟	锁
一笑不堪笑	笑
无心亦尔尔	尔
往来无所思	思
只在古今古	古
白石桥边一径通	通
孤村鸡犬过村中	孤村
晚来溪上千竿竹	竹
不见梅花到客中	客
明月湖边月	月
桥边柳色新	新
春风何处处	春风
知是故家人	家
南皇德德臣	臣
造物自闲闲	闲
谁知有嘉事	嘉
元不在人间	元
湖光照明月	明月
虞伯不可人	孟
庄子自相说	传舍
不见一枝枝	枝
桃花枝上一丛丛	丛
始见梅花入梦中	始
记得白头春色色	色
不将花发待春风	花
昔乐山中乐	乐
自乐山中乐	乐
风雨对烟雨	烟雨
寻诗不回首	诗
江南湖上客	客
不见芦花乱	乱
一声将雁来	雁
白鸟不飞去	飞
江上双双双	双
桃花不相笑	笑
留得雪中诗	诗
谁知有张去	张
桃花开牡丹	牡丹
折得一枝春	春
谁知六宫妹	宫
不作锦罗茵	锦
梦里寻花不见花	花
满城风雨又春斜	春
主人不是太平事	太平
不是更非桃杏花	非
秋风昨夜夜	昨夜
窗下读书书	书
欲向浯溪上	溪
故人犹读书	犹
此性从来本自求	求
不知何处实何求	药
不知形在知何处	形
忧患从来不点头	忧患
从来不辨时	辨
我不得官归	官
何事争何事	争
相逢不是归	相逢
只有一椽笔	笔
先生有麽生	生
主人都不识	识
今日与云行	云
何处不为君	君
问君不与君	君
主人从此分	分
何处堪青云	堪
西风吹雨下梧桐	桐
卧听猿声到月中	月
记得落花成一梦	成
不妨聊懒对西风	懒
何处不为君	君
山色今何爱	爱
昨日去年年	年年
行人尚尚尚	尚
世事从来万事非	非
故将车马濯尘衣	尘
如今更向山河去	山河
不是此身身未归	身
山色重重重	重
桃花花未开	花
池边零落落	村落
添薄又将来	添
桃花枝上一丛丛	丛
不见花开晓镜中	晓
待得故园茅拣在	茅
可能随浪嫁春风	浪
江上万重山	山
楼台爽气高	高
人心无此境	境
不画洛阳图	画
欲去归来晚	晚
扁舟犹未归	犹
扁舟向东去	东
不见落花飞	飞
胸中无一字	字
天下不如泪	泪
不是忍行人	忍
泪痕含露湿	泪痕
少年人事在人间	人间
不见桃花各自羞	羞
莫向广文天上去	文
令人留得子兰船	子
渺渺长江水拍天	天
扁舟长向枕中眠	眠
夜来记得湖边月	月
却把渔舟试钓船	试
祥云拥彩云	拥
日日终日闲	闲
不见陌上花	花
秋风弄潺湲	弄
流水满长沙	长沙
落花空落花	空
春来无处理	理
处处鸟栖鸦	鸟
春色浓如锦	锦
伤心一片心	心
一灯花影里	一灯
不是泪痕深	深
江北风高意气高	高
蜀江春涨望逍遥	春
秋光只在春光里	花光
折柳移梅过画桥	梅
梦里寻花不见花	花
一枝空对一枝斜	空
主人自是非吾事	非
知是庞公卖酒家	公
白云深处昔曾曾	曾
万里青山只隔层	隔
却忆武陵山下路	路
桃花处处是丹青	桃花
杨柳插桃花	插
桃花白白麻	麻
双双双蛱蝶	双
儿女竞莲花	竞
江北风高意气高	高
沧波波浪起波涛	惊涛
扁舟欲泛舟仙去	仙
只有扁舟语钓樵	语
春来气未平	平
叶叶青青青	青
造物不有恩	恩
故人不堪听	不堪
五月秋风冷	冷
青山处士家	家
老来元不尽	元
人是看梅花	人
老去归来去未休	休
故人何事不相留	留
个中只有无知意	有意
记得扁舟一扁舟	行舟
流水自清清	清
微凉日初午	午
造物不相亲	亲
游人不须识	须
扁舟江上舟	舟
江上一烟烟	烟
记得春风里	春风
愁人上钓船	人
造物是元元	元
飞来天上云	云
何如龙尾尾	尾
秋气满秋旻	秋
往事如相问	问
从来亦有官	官
关关无一事	关
莫作楚云安	云
桃花三百花	百花
一片一片片	一片
不与主人留	留
日日从教去	教
江上浮云度	度
扁舟艇子船	子
重来好山色	山色
何处在人间	人间
渺渺长江水拍天	天
吴江流水物依然	物
扁舟到处曾何处	曾
又逐潮生上钓船	生
